creative_id,asset_file,creative_label,source_screenshot,asset_status
brio_cr_001,brio_99_9_contaminants.png,Removes Up to 99.9% of Contaminants,Screenshot 2026-09-14 at 6.50.59 PM.png,public_ad_screenshot_crop
brio_cr_002,brio_bad_guys_water.png,There's Bad Guys in Your Water,Screenshot 2026-09-14 at 6.51.17 PM.png,public_ad_screenshot_crop
brio_cr_004,brio_everyday_hydration.png,Everyday Hydration,Screenshot 2026-09-14 at 6.51.29 PM.png,public_ad_screenshot_crop
brio_cr_005,brio_premium_refreshment.png,Premium Refreshment,Screenshot 2026-09-14 at 6.51.32 PM.png,public_ad_screenshot_crop
brio_cr_008,brio_entire_home_filtration.png,Entire Home Filtration,Screenshot 2026-09-14 at 6.51.36 PM.png,public_ad_screenshot_crop
brio_cr_003,brio_pure_water_zero_concerns.png,"Pure Water, Zero Concerns",Screenshot 2026-09-14 at 6.51.52 PM.png,public_ad_screenshot_crop
brio_cr_009,brio_q60.png,Q60 RO Sparkling Water Dispenser,Screenshot 2026-09-14 at 6.50.40 PM.png,public_ad_screenshot_crop
