creative_id,source_ad_id,primary_text,ad_headline,ad_description,cta,observed_total_versions,notes,data_type
brio_cr_001,brio_ad_ro_99_9,"Say goodbye to impurities and hello to great-tasting water!
• Remove contaminants & odors
• Improve your health & wellbeing

Find the perfect Brio Filtration System for your home today!",Cleaner Water Starts at the Tap,Reverse Osmosis Systems,Shop Now,2,Observed via Meta Ads Library. Local asset represents 1 of 2 observed creative versions of this ad.,public_ad_library_observed
brio_cr_003,brio_ad_ro_pure_water,"Say goodbye to impurities and hello to great-tasting water!
• Remove contaminants & odors
• Improve your health & wellbeing

Find the perfect Brio Filtration System for your home today!","Pure Water, Zero Concerns.",Trusted water filtration.,Shop Now,2,Observed via Meta Ads Library. Local asset represents 1 of 2 observed creative versions of this ad.,public_ad_library_observed
brio_cr_009,brio_ad_q60,Shop the bestselling Brio Countertop Dispenser Q60. Featuring an installation-free design and sparkling water dispenser.,Shop Lux Countertop Dispensers Now,,Shop Now,3,Observed via Meta Ads Library. Local asset represents 1 of 3 observed creative versions of this ad. No description observed.,public_ad_library_observed
brio_cr_004,brio_ad_home_filtration_multi,Discover Brio Filtration Systems & enjoy better water. Find the right solution for your home today!,Say goodbye to contaminants,,Shop Now,15,"Observed via Meta Ads Library. This creative appeared within a Meta ad containing 15 creative versions; brio_cr_004/005/008 are 3 of those versions, sharing this ad's primary text and CTA with distinct per-version headlines, exactly as observed. No description observed.",public_ad_library_observed
brio_cr_008,brio_ad_home_filtration_multi,Discover Brio Filtration Systems & enjoy better water. Find the right solution for your home today!,Get the perfect solution for your home,,Shop Now,15,"Observed via Meta Ads Library. This creative appeared within a Meta ad containing 15 creative versions; brio_cr_004/005/008 are 3 of those versions, sharing this ad's primary text and CTA with distinct per-version headlines, exactly as observed. No description observed.",public_ad_library_observed
brio_cr_005,brio_ad_home_filtration_multi,Discover Brio Filtration Systems & enjoy better water. Find the right solution for your home today!,Find the right solution,,Shop Now,15,"Observed via Meta Ads Library. This creative appeared within a Meta ad containing 15 creative versions; brio_cr_004/005/008 are 3 of those versions, sharing this ad's primary text and CTA with distinct per-version headlines, exactly as observed. No description observed.",public_ad_library_observed
brio_cr_002,brio_ad_bad_guys,"Your tap deserves a superhero. Brio filtration helps reduce lead, microplastics, PFAS and germs for cleaner water.",Cleaner Water Starts With Brio,Pure water. Zero concerns.,Shop Now,2,"Observed via Meta Ads Library. No local source image: the only available screenshot of this ad included a video-play-button overlay, so it was intentionally excluded from assets/brio/source_ads/. Retained here as creative-history/context data only; do not re-add the image.",public_ad_library_observed
